128   0.27215144076171877 0.19073343945312504 0.006047175039062501 0.07537082626953122 35.03356889573788
256   0.3402595850585938 0.26856921875 0.007252147226562499 0.06443821908203132 83.3364473630243
512   0.2706309429882812 0.189546017578125 0.0088108063671875 0.07227411904296871 132.0503103059707
1024  0.29754931203125 0.22797122070312498 0.00962628806640625 0.059951803261718783 320.32627415381086
2048  0.30912030515625 0.21404509765625 0.014582538398437499 0.08049266910156251 526.6901665282217
4096  0.3078177962304688 0.231956142578125 0.013593450214843752 0.06226820343750004 1255.6977852917928
8192  0.32292932972656246 0.23486948828125004 0.017710834238281247 0.07034900720703118 2185.3728820406714
16384 0.40717426349609376 0.30808467382812504 0.020114711171875004 0.0789748784960937 3832.821447505294

#128   0.215  0.152  0.00482  0.0581  35.5
#256   0.266  0.210  0.00552  0.0503  83.3
#512   0.209  0.144  0.00687  0.0580  130
#1024  0.226  0.174  0.00756  0.0453  321
#2048  0.244  0.168  0.0121  0.0641  535
#4096  0.240  0.182  0.0106   0.0483  1255
#8192  0.262  0.193  0.0137   0.0554  2175

